Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
RAD21	STAG2	psi-mi:"MI:0004"(affinity chromatography technology)	Kim HS (2010)	pubmed:20818333
RAD21	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kim HS (2010)	pubmed:20818333
RAD21	SSU72	psi-mi:"MI:0004"(affinity chromatography technology)	Kim HS (2010)	pubmed:20818333
STAG1	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
STAG1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
STAG1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
STAG2	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
STAG2	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
STAG2	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	STAG1	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	STAG2	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	PDS5A	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	PDS5B	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
PDS5A	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
PDS5A	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
PDS5A	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
PDS5B	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
PDS5B	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kueng S (2006)	pubmed:17113138
SMC3	RAD21	psi-mi:"MI:0401"(biochemical)	Kueng S (2006)	pubmed:17113138
SMC1A	WFDC5	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
SMC1A	STAG2	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
SMC1A	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
SMC1A	PDS5B	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
SMC1A	PDS5A	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
WFDC5	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
WFDC5	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
PDS5A	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
PDS5B	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Gandhi R (2006)	pubmed:17112726
STAG1	RAD21	psi-mi:"MI:0096"(pull down)	Gandhi R (2006)	pubmed:17112726
STAG1	SMC1A	psi-mi:"MI:0096"(pull down)	Gandhi R (2006)	pubmed:17112726
