"","Aural Anomalies","Cerebral Anomalies","Ciliopathy","Coronary and Vascular Anomalies","Digestive Anomalies","Facial Anomalies","Hormonal Anomalies","Liver Anomalies","Nasal Anomalies","Neural Anomalies","Ophthalmic Anomalies","Organ Anomalies","Others","Renal Anomalies","Reproductive Anomalies","Respiratory Anomalies","Skeletal Anomalies","type_ciliopathy","Human.Gene.Name","Subcellular.Localization"
"207","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","NEK10","1"
"208","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","TTC12","0"
"209","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","STK36","1"
"210","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","TP73","0"
"211","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","NME5","1"
"212","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","NME7","0"
"213","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","IFT46","0"
"214","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CFAP57","1"
"215","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CFAP221","1"
"216","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","SPEF2","1"
"217","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CFAP54","0"
"218","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CFAP206","1"
